name	exam 1	exam 2	homework	final	total	grade
soyam 	67	54	67	65	63.9	D
luhena	56	76	87	90	79.35	C
lujeje	67	98	89	77	83.4	B
luhena 	67	56	76	56	65.2	D
hjjjjd	56	76	87	67	73.6	C
soyam	56	87	78	65	72.15	C
tamrat	56	76	56	76	65	D
fhjkkf	67	54	56	78	63.3	D
djjjjd	87	87	78	67	78.85	C
jemila	45	67	65	67	61.9	D
jkkmdd	78	67	78	76	75.3	C
jijdjj	67	56	56	56	58.2	F
jjjjmd	67	67	56	56	60.4	D
jjjmedm	87	90	56	76	74	C
hjdsdm	78	56	78	67	70.85	C
jujjdm	67	67	6	76	47.9	F
	45	56	56	5	41.05	F
gtyhfr	56	56	90	90	76.4	C
frteed	45	66	78	98	74	C
frtfe	67	87	77	88	79.75	C
